statistic_yyy,according,district_code,site_id,sex,single_multiple_birth,birth_count
統計年,按照別,區域別代碼,區域別,性別,胎別,嬰兒出生數
112,按登記日期分,65000010,新北市板橋區,男,單胎,1226
112,按登記日期分,65000010,新北市板橋區,男,雙胞胎,31
112,按登記日期分,65000010,新北市板橋區,男,3胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,4胞胎,0
112,按登記日期分,65000010,新北市板橋區,男,5胞胎以上,0
112,按登記日期分,65000010,新北市板橋區,女,單胎,1182
112,按登記日期分,65000010,新北市板橋區,女,雙胞胎,39
112,按登記日期分,65000010,新北市板橋區,女,3胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,4胞胎,0
112,按登記日期分,65000010,新北市板橋區,女,5胞胎以上,0
112,按登記日期分,65000020,新北市三重區,男,單胎,856
112,按登記日期分,65000020,新北市三重區,男,雙胞胎,26
112,按登記日期分,65000020,新北市三重區,男,3胞胎,0
112,按登記日期分,65000020,新北市三重區,男,4胞胎,0
112,按登記日期分,65000020,新北市三重區,男,5胞胎以上,0
112,按登記日期分,65000020,新北市三重區,女,單胎,755
112,按登記日期分,65000020,新北市三重區,女,雙胞胎,16
112,按登記日期分,65000020,新北市三重區,女,3胞胎,0
112,按登記日期分,65000020,新北市三重區,女,4胞胎,0
112,按登記日期分,65000020,新北市三重區,女,5胞胎以上,0
112,按登記日期分,65000030,新北市中和區,男,單胎,846
112,按登記日期分,65000030,新北市中和區,男,雙胞胎,25
112,按登記日期分,65000030,新北市中和區,男,3胞胎,0
112,按登記日期分,65000030,新北市中和區,男,4胞胎,0
112,按登記日期分,65000030,新北市中和區,男,5胞胎以上,0
112,按登記日期分,65000030,新北市中和區,女,單胎,791
112,按登記日期分,65000030,新北市中和區,女,雙胞胎,37
112,按登記日期分,65000030,新北市中和區,女,3胞胎,0
112,按登記日期分,65000030,新北市中和區,女,4胞胎,0
112,按登記日期分,65000030,新北市中和區,女,5胞胎以上,0
112,按登記日期分,65000040,新北市永和區,男,單胎,340
112,按登記日期分,65000040,新北市永和區,男,雙胞胎,18
112,按登記日期分,65000040,新北市永和區,男,3胞胎,0
112,按登記日期分,65000040,新北市永和區,男,4胞胎,0
112,按登記日期分,65000040,新北市永和區,男,5胞胎以上,0
112,按登記日期分,65000040,新北市永和區,女,單胎,354
112,按登記日期分,65000040,新北市永和區,女,雙胞胎,18
112,按登記日期分,65000040,新北市永和區,女,3胞胎,0
112,按登記日期分,65000040,新北市永和區,女,4胞胎,0
112,按登記日期分,65000040,新北市永和區,女,5胞胎以上,0
112,按登記日期分,65000050,新北市新莊區,男,單胎,1034
112,按登記日期分,65000050,新北市新莊區,男,雙胞胎,37
112,按登記日期分,65000050,新北市新莊區,男,3胞胎,0
112,按登記日期分,65000050,新北市新莊區,男,4胞胎,0
112,按登記日期分,65000050,新北市新莊區,男,5胞胎以上,0
112,按登記日期分,65000050,新北市新莊區,女,單胎,1086
112,按登記日期分,65000050,新北市新莊區,女,雙胞胎,49
112,按登記日期分,65000050,新北市新莊區,女,3胞胎,0
112,按登記日期分,65000050,新北市新莊區,女,4胞胎,0
112,按登記日期分,65000050,新北市新莊區,女,5胞胎以上,0
112,按登記日期分,65000060,新北市新店區,男,單胎,572
112,按登記日期分,65000060,新北市新店區,男,雙胞胎,17
112,按登記日期分,65000060,新北市新店區,男,3胞胎,0
112,按登記日期分,65000060,新北市新店區,男,4胞胎,0
112,按登記日期分,65000060,新北市新店區,男,5胞胎以上,0
112,按登記日期分,65000060,新北市新店區,女,單胎,544
112,按登記日期分,65000060,新北市新店區,女,雙胞胎,14
112,按登記日期分,65000060,新北市新店區,女,3胞胎,0
112,按登記日期分,65000060,新北市新店區,女,4胞胎,0
112,按登記日期分,65000060,新北市新店區,女,5胞胎以上,0
112,按登記日期分,65000070,新北市樹林區,男,單胎,473
112,按登記日期分,65000070,新北市樹林區,男,雙胞胎,12
112,按登記日期分,65000070,新北市樹林區,男,3胞胎,0
112,按登記日期分,65000070,新北市樹林區,男,4胞胎,0
